 	Pyrms37	Pyrms47	Pyrms63	Pyrms77B	Pyrms83B	Pyrms233	Pyrms319	Pyrms427	Pyrms607	Pyrms657
BN0072	197	165	151	194	112	253	284	213	284	168
BN0073	197	165	151	194	112	253	284	213	284	168
BN0074	197	165	151	194	112	253	284	213	284	168
BN0075	197	165	151	194	112	253	284	213	284	168
BN0076	197	165	151	194	112	253	284	213	284	168
BN0077	197	165	151	194	112	253	284	213	284	168
BN0081	197	165	151	194	112	253	284	213	284	168
BN0082	197	165	151	194	112	253	284	213	284	168
BN0083	197	167	149	194	112	268	287	217	281	166
BN0085	197	165	151	194	112	253	284	211	284	168
BN0088	197	165	151	194	112	253	284	213	284	168
BN0093	197	165	151	194	112	253	284	213	284	168
BN0094	197	163	151	194	112	253	999	219	284	166
BN0096	197	167	151	194	112	253	284	213	284	168
BN0097	197	165	151	194	112	253	284	213	284	168
BN0100	197	165	151	194	118	253	284	215	284	168
BN0113	199	163	149	216	112	253	287	219	284	166
BN0123	199	163	149	999	112	253	287	219	284	166
BN0125	197	169	151	194	112	253	284	213	284	168
BN0129	197	165	151	194	112	999	284	211	284	168
BN0130	197	165	151	194	112	999	284	999	284	168
BN0138	197	165	151	194	112	253	284	211	284	168
BN0139	197	165	151	194	112	253	284	213	284	168
BN0141	197	165	151	194	112	253	284	211	284	168
BN0143	197	165	151	194	112	253	284	211	284	168
BN0152	197	167	149	192	112	247	287	229	281	166
BN0155	197	165	149	192	112	247	287	227	281	166
BN0157	197	165	149	192	112	247	287	221	281	166
BN0160	197	165	149	192	112	247	287	221	281	166
BN0161	197	165	149	192	112	247	287	221	281	166
BN0162	197	165	149	192	112	247	287	221	281	166
BN0164	197	165	151	194	118	253	284	215	284	168
BN0168	197	165	151	194	118	253	284	215	284	168
BN0169	197	165	151	194	112	253	284	211	284	168
BN0170	197	165	151	194	112	253	284	211	284	168
BN0175	197	175	151	194	118	253	284	215	284	168
BN0187	197	165	151	194	112	253	284	215	284	168
BN0192	197	175	149	194	112	268	287	215	281	166
BN0194	197	167	149	194	112	268	287	215	281	166
BN0195	197	167	149	194	112	268	287	215	281	166
BN0196	197	167	149	194	112	268	287	215	281	166
BN0197	197	167	149	194	112	268	287	215	281	166
BN0199	201	163	151	194	103	250	284	211	284	168
BN0200	197	167	149	194	112	268	287	215	281	166
BN0202	197	167	149	194	112	268	287	215	281	166
BN0203	197	167	149	194	112	268	287	215	281	166
BN0204	197	167	149	194	112	268	287	215	281	166
BN0206	197	167	149	194	112	268	287	215	281	166
BN0207	197	167	149	194	112	268	287	215	281	166
BN0208	197	167	149	194	112	268	287	215	281	166
BN0209	197	167	149	194	112	268	287	215	281	166
BN0211	197	167	149	194	112	268	287	215	281	166
BN0212	197	167	149	194	112	268	287	215	281	166
BN0213	197	167	149	194	112	268	287	215	281	166
BN0214	197	167	149	194	112	268	287	215	281	166
BN0215	197	167	149	194	112	268	287	215	281	166
BN0216	197	167	149	194	112	268	287	215	281	166
BN0217	197	167	149	194	112	268	287	215	281	166
BN0218	197	165	151	194	112	253	284	217	284	168
BN0219	197	167	149	999	112	268	287	215	281	999
BN0220	197	167	149	194	112	268	287	215	281	166
BN0221	197	167	149	194	112	268	287	215	281	166
BN0222	197	167	149	194	112	268	287	215	281	166
BN0223	197	175	149	194	112	268	287	217	281	166
BN0225	197	167	149	194	112	268	287	215	281	166
BN0226	197	167	149	194	112	268	287	215	281	166
BN0227	197	167	149	194	112	268	287	215	281	166
BN0228	197	167	149	194	112	268	287	215	281	166
BN0230	197	167	149	194	112	268	287	215	281	166
BN0231	197	167	149	194	112	268	287	215	281	166
BN0233	197	167	149	194	112	268	287	215	281	166
BN0234	197	167	149	194	112	268	287	215	281	166
BN0235	197	167	149	194	112	268	287	215	281	166
BN0236	197	167	149	194	112	268	287	215	281	166
BN0237	197	167	149	194	112	268	287	215	281	166
BN0238	197	167	149	194	112	268	287	215	281	166
BN0239	197	167	149	194	112	268	287	215	281	166
BN0240	197	167	149	194	112	268	287	215	281	166
BN0241	197	167	149	194	112	268	287	215	281	166
BN0243	197	167	149	194	112	268	287	215	281	166
BN0244	197	167	149	194	112	268	287	215	281	166
BN0245	197	167	149	194	112	268	287	215	281	166
BN0246	197	167	149	194	112	268	287	215	281	166
BN0247	197	167	149	194	112	268	287	215	281	166
BN0248	197	167	149	194	112	268	287	215	281	166
BN0252	197	165	151	194	112	253	284	213	284	168
BN0253	197	163	149	194	112	268	287	999	281	166
BN0254	197	165	151	194	118	253	284	213	284	168
BN0256	197	165	151	194	118	253	284	213	284	168
BN0258	197	167	149	194	112	268	287	215	281	166
BN0259	197	167	149	194	112	268	287	215	281	166
BN0260	201	163	151	194	103	250	284	211	284	168
BN0262	197	165	151	194	112	253	284	213	284	168
BN0264	197	165	151	194	112	253	284	213	284	168
BN0265	197	165	151	194	112	253	284	213	284	168
BN0266	197	167	149	194	112	268	287	215	999	166
BN0267	197	167	149	194	112	268	287	215	281	166
BN0269	197	167	149	194	112	268	287	215	281	166
BN0270	197	167	149	194	112	268	287	215	281	166
BN0273	197	167	149	194	112	268	287	215	281	166
BN0274	197	167	149	194	112	268	287	215	281	166
BN0276	197	167	149	194	112	268	287	215	281	166
BN0277	197	167	149	194	112	268	287	215	281	166
BN0278	197	167	149	194	112	268	287	215	281	166
BN0279	197	167	149	194	112	268	287	215	281	166
BN0280	197	167	149	194	112	268	287	215	281	166
BN0281	197	167	149	194	112	268	287	215	281	166
BN0285	201	163	151	194	103	250	284	211	284	168
BN0287	197	177	149	190	112	268	287	219	281	166
BN0288	201	163	151	194	103	250	284	211	284	168
BN0289	197	177	149	190	112	268	287	219	281	166
BN0291	197	167	149	194	112	268	287	215	281	166
BN0293	197	165	151	194	112	253	284	213	284	168
BN0295	197	177	149	190	112	268	287	219	281	166
BN0296	197	167	149	194	112	268	287	215	281	166
BN0297	197	167	149	194	112	268	287	215	281	166
BN0299	197	167	149	194	112	268	287	215	281	166
BN0300	197	177	149	190	112	268	287	219	281	166
BN0301	197	167	149	194	112	268	287	215	281	166
BN0302	197	167	149	194	112	268	287	215	281	166
BN0303	197	167	149	194	112	268	287	215	281	166
BN0304	197	165	151	194	112	253	284	213	284	168
BN0306	197	165	151	999	112	253	284	213	284	168
BN0307	199	163	149	218	121	253	287	223	284	166
BN0308	199	163	149	218	121	253	287	223	284	166
BN0309	197	167	151	194	112	253	284	213	284	168
BN0310	197	167	151	194	112	253	284	213	284	168
BN0313	195	165	153	178	97	265	999	195	999	164
BN0318	197	999	151	194	112	253	284	213	284	168
BN0319	197	167	151	194	112	253	284	213	284	168
BN0321	197	167	151	194	112	253	284	213	284	168
BN0323	197	165	151	194	112	253	284	213	284	168
BN0324	195	185	151	208	999	274	281	201	269	166
BN0326	195	173	151	208	999	274	281	201	269	166
BN0342	197	165	151	194	112	253	284	219	284	168
BN0343	197	165	151	194	112	253	284	219	284	168
BN0344	197	165	151	194	112	253	284	213	284	168
BN0345	197	165	151	194	112	253	284	213	284	168
BN0346	197	165	151	194	112	253	284	219	284	168
BN0347	197	165	151	194	112	253	284	219	284	168
BN0348	197	165	151	194	112	253	284	219	284	168
BN0352	197	163	149	194	109	253	284	999	284	999
BN0353	197	167	151	194	112	253	284	213	284	168
BN0354	197	167	151	194	112	253	284	213	284	168
BN0355	197	167	151	194	112	253	284	213	284	168
BN0356	197	167	151	194	112	253	284	213	284	168
BN0357	197	165	151	194	112	253	284	213	284	168
BN0358	197	163	999	194	109	253	284	215	284	999
BN0359	999	159	151	999	109	241	284	199	272	170
BN0360	999	159	151	999	109	241	284	199	272	170
BN0361	999	159	151	999	109	241	284	199	272	170
BN0362	999	159	151	999	109	241	284	199	272	170
BN0363	197	165	151	194	112	253	284	213	284	168
BN0365	197	165	151	194	112	253	284	213	284	168
BN0366	197	169	151	194	112	253	284	213	284	168
BN0367	197	169	151	194	112	253	284	213	284	168
BN0368	197	169	151	194	112	253	284	213	284	168
BN0369	197	169	151	194	112	253	284	213	284	168
BN0370	197	169	151	194	112	253	284	213	284	168
BN0371	197	169	151	194	112	253	284	213	284	168
BN0414	205	157	151	999	109	241	284	201	272	170
BN0415	197	165	149	192	112	247	287	221	281	166
CD0019	197	165	151	194	112	253	284	213	284	168
CD0052	197	163	151	194	103	250	284	211	284	168
CD0065	199	999	161	220	109	253	281	201	281	164
CD0073	197	163	151	194	103	250	284	209	284	168
CD0096	199	181	151	200	109	259	284	213	284	166
CD0101	197	163	151	194	112	250	284	211	284	168
CD0113	197	167	149	194	112	268	287	223	281	166
CD0122	199	171	163	214	109	253	284	201	281	164
CD0142	199	183	151	200	109	259	284	213	284	166
CD0212	197	163	151	194	103	250	284	211	284	168
CD0213	197	163	151	194	103	250	284	211	999	168
CD0214	197	163	151	194	103	250	284	211	284	168
CD0215	197	163	151	194	103	250	284	211	284	168
CD0216	197	163	151	194	103	250	284	211	284	168
CD0217	197	163	151	194	103	250	284	211	284	168
CD0218	197	163	151	194	103	250	284	211	284	168
CD0219	197	163	151	194	103	250	284	211	284	168
CD0234	199	163	149	999	112	253	287	213	275	166
CD0235	199	163	149	999	112	253	287	213	999	166
CD0236	197	163	151	194	103	250	284	211	284	168
CD0237	197	163	151	194	103	250	284	211	284	168
CD0238	199	163	149	999	112	253	287	213	275	166
CD0239	199	163	149	226	112	253	287	213	275	166
CD0240	197	163	151	194	103	250	284	211	284	168
CD0241	197	163	151	194	103	250	284	211	284	168
CD0242	197	163	151	194	103	250	284	211	284	168
CD0245	197	163	151	194	103	250	284	211	284	168
CD0246	197	163	151	194	103	250	284	211	284	168
CD0247	197	163	151	194	103	250	284	211	284	168
CD0248	197	163	151	194	103	250	284	211	284	168
CD0249	197	163	151	194	103	250	284	211	284	168
CD0250	203	157	151	999	109	241	284	199	272	170
CD0251	203	157	151	999	109	241	284	199	272	170
CD0252	197	163	151	194	103	250	284	211	284	168
CD0253	197	163	151	194	103	250	284	211	284	168
CD0254	197	167	151	194	115	253	284	213	284	168
CD0255	197	167	151	194	115	253	284	213	284	168
CD0259	195	173	151	999	133	274	281	201	266	166
CD0260	197	163	151	194	103	250	284	211	284	168
CD0261	197	163	151	194	103	250	284	211	999	168
